model_name,project,layer,issue,severity,recommendation
stg_tracking_events,dbt_pargo,staging,Staging model is a view that executes an INNER JOIN against stg_parcels (also a view with a window function) every time it is referenced downstream. At 150M events this join re-runs for every mart that refs stg_tracking_events.,HIGH,Change stg_tracking_events materialization to ephemeral or table. If ephemeral causes memory pressure at scale move it to an incremental table or add intermediate layer to materialise the deduped+filtered result once.
fct_returns,dbt_pargo,mart/core,SCD2 dimension join uses `dr.is_current` (today's rate card) instead of an AS-OF join on `return_initiated_at`. Returns are attributed to the current retailer record not the one in effect at time of return — inconsistent with fct_parcels which correctly does AS-OF.,HIGH,"Change join to: `on r.retailer_id = dr.retailer_id and r.return_initiated_at >= dr.valid_from and r.return_initiated_at < dr.valid_to`. Matches the pattern in fct_parcels line 50-51."
mart_retailer_scorecard,pargo_dbt,mart,ESTIMATED_REVENUE formula is `TOTAL_GMV * RATE_PER_PARCEL_ZAR` (GMV × rate-per-parcel). Dimensionally wrong: multiplying currency by currency per unit gives currency². Revenue = TOTAL_PARCELS × RATE_PER_PARCEL_ZAR.,HIGH,Change formula to `round(pa.TOTAL_PARCELS * r.RATE_PER_PARCEL_ZAR, 2) as ESTIMATED_REVENUE`.
feat_parcel_rts_risk,pargo_dbt,ml_features,`datediff('hour' COMMA t.LAST_EVENT COMMA p.ARRIVED_AT_POINT_AT)` computes arrival minus last_event. If last scan occurs after arrival this yields a negative feature value corrupting the ML input.,HIGH,Swap argument order: `datediff('hour' COMMA p.ARRIVED_AT_POINT_AT COMMA t.LAST_EVENT)` to get hours from arrival to final scan (positive lag).
mart_sla_breaches,pargo_dbt,mart,Uses INNER JOIN on customers and retailers instead of LEFT JOIN (all other pargo_dbt marts use LEFT JOIN). Parcels with NULL customer_id or retailer_id are silently excluded causing SLA breach undercounting.,HIGH,Change `join customers c on ...` and `join retailers r on ...` to `left join`. Filter for known breaches is already in the WHERE clause — inner join adds no selectivity benefit.
fct_parcels,dbt_pargo,mart/core,SCD2 AS-OF join has a bootstrapping gap: parcels created before the first snapshot run (dbt_valid_from) match no dim_retailer row. These parcels get retailer_key = NULL which fails the `not_null` test on retailer_key.,HIGH,"Add a pre-snapshot seed or earliest-valid-from guard. Quick fix: coalesce the AS-OF join with a second pass using `is_current` for parcels that fall before the oldest snapshot row, or ensure initial snapshot load backdates valid_from to a date before the earliest parcel."
fct_point_utilization_daily,dbt_pargo,mart/operations,Scans stg_parcels twice — once for arrivals CTE and once for collections CTE. stg_parcels is a view with a window function dedup; double execution doubles compute cost at 30M row scale.,MEDIUM,"Collapse into a single scan with conditional aggregation: `count(case when arrived_at_point_at is not null then 1 end)` and `count(case when collected_at is not null then 1 end)` grouped by pickup_point_id and date."
fct_tracking_events,dbt_pargo,mart/core,cluster_by=['event_date_key'] only. The most common query pattern is `WHERE parcel_key = ?` (parcel tracking page). Queries filtering by parcel_key scan all micro-partitions — no pruning benefit.,MEDIUM,Add parcel_key to the cluster_by list: `cluster_by=['event_date_key' COMMA 'parcel_key']`. Snowflake supports up to 4 cluster keys.
stg_parcels,dbt_pargo,staging,Uses two-CTE pattern (source → deduped) to achieve row_number dedup. All other staging models in the same project use the more concise QUALIFY pattern. Inconsistency increases maintenance surface.,LOW,Rewrite to use `QUALIFY row_number() over (partition by parcel_id order by _loaded_at desc) = 1` inline like stg_retailers/stg_customers etc. Functionally identical but consistent.
dim_courier,dbt_pargo,mart/core,No SCD2 — courier attributes (region COMMA vehicle_type) are current-state only. Historical analyses comparing courier performance across region reassignments will mix time periods.,MEDIUM,"Add snap_couriers snapshot (check strategy on courier_name COMMA region COMMA vehicle_type) and rebuild dim_courier with valid_from/valid_to columns. If couriers are stable this is low-urgency but the schema should document the decision with an explicit comment (currently undocumented)."
int_parcel_milestones,dbt_pargo,intermediate,No schema.yml / no tests defined. This is the single source of all SLA and duration metrics for the entire platform — untested intermediate logic is high-risk.,MEDIUM,"Add _intermediate__models.yml with at minimum: not_null on parcel_id COMMA expression_is_true for `delivery_hours >= 0` COMMA `dwell_hours >= 0` COMMA and accepted_range for end_to_end_hours."
int_customer_activity,dbt_pargo,intermediate,No tests. Feeds dim_customer lifetime_parcels and lifetime_parcel_value_zar which drive the usage_band segmentation used in reporting.,MEDIUM,Add not_null test on customer_id and expression_is_true for `lifetime_parcels >= 0` in a schema.yml for the intermediate layer.
snap_retailers,dbt_pargo,snapshot,No dbt tests defined on the snapshot table. The dim_retailer model has an expression_is_true test for at-most-one-current-record but a corrupt snapshot (duplicate unique_key) would not be caught early.,MEDIUM,"Add `unique` and `not_null` tests on retailer_id in a snapshots schema.yml. Also add `not_null` on dbt_valid_from."
snap_pickup_points,dbt_pargo,snapshot,Same as snap_retailers — no tests defined. Missing coverage on the second SCD2 dimension.,MEDIUM,Add schema.yml for snapshots with unique + not_null on pickup_point_id and dbt_valid_from.
mart_retailer_performance,dbt_pargo,mart/finance,Joins dim_retailer a second time implicitly via the `rets` CTE (through fct_returns which already carries retailer_key). The join `join dim_retailer r on f.retailer_key = r.retailer_key` is redundant — retailer_id is already on fct_returns.,LOW,"In the `rets` CTE join directly on `f.retailer_id = r.retailer_id and r.is_current` OR pull retailer_id directly from fct_returns (it's already there). Eliminates one dim join."
mart_daily_ops,dbt_pargo,mart/operations,Reads from fct_parcels (the large incremental fact) but is itself materialized as a static table (default from dbt_project.yml marts config). A full rebuild scans all 30M rows on every `dbt run`.,MEDIUM,"Change materialization to incremental using `cluster_by=['month' COMMA 'province']` with a lookback window on created_at matching fct_parcels (-3 days). Alternatively materialise as a view if query latency is acceptable."
feat_customer_ltv,pargo_dbt,ml_features,ANNUALISED_VALUE uses `TENURE_DAYS / 365.0` as the denominator with nullif(0). New customers with same-day first and last order have tenure_days=0 COMMA yielding NULL LTV. ML pipeline will propagate NULLs or drop these rows silently.,MEDIUM,"Replace with `nullif(coalesce(os.TENURE_DAYS COMMA 1) COMMA 0) / 365.0` to give new customers a 1-day tenure floor COMMA producing a finite (if large) annualised value. Document the imputation choice."
stg_tracking_events,dbt_pargo,staging,The `history_start` variable filter `e.event_timestamp >= '{{ var(""history_start"") }}'` is a literal string compared to a timestamp. Snowflake will implicitly cast but type mismatch can prevent micro-partition pruning.,LOW,"Wrap in an explicit cast: `e.event_timestamp >= cast('{{ var(""history_start"") }}' as timestamp)`."
